Rosay	person-other
.	O

Flight	product-airplane
505	product-airplane
was	O
an	O
early	O
morning	O
flight	O
from	O
Tashkent	location-GPE
to	O
Shahrisabz	location-GPE
,	O
both	O
in	O
the	O
Uzbek	location-GPE
Soviet	location-GPE
Socialist	location-GPE
Republi	location-GPE
c	O
,	O
now	O
the	O
Republic	location-GPE
of	location-GPE
Uzbekistan	location-GPE
.	O

A	O
total	O
of	O
24	O
Aérospatiale	organization-company
Puma	product-airplane
HC1s	product-airplane
have	O
been	O
upgraded	O
to	O
HC2	O
standard	O
to	O
prolong	O
their	O
lives	O
until	O
2025	O
.	O

The	O
existence	O
of	O
the	O
unit	O
became	O
widely	O
known	O
in	O
the	O
aftermath	O
of	O
the	O
October	O
1983	O
invasion	O
of	O
Grenada	location-island
,	O
as	O
OH-6s	product-airplane
helicopters	O
were	O
seen	O
supporting	O
Special	O
Operations	O
during	O
this	O
operation	O
.DoD	organization-government,governmentagency
and	O
the	O
US	organization-other
Army	organization-other
denied	O
A/MH-6s	product-airplane
were	O
used	O
in	O
the	O
operation	O
despite	O
amateur	O
video	O
showing	O
the	O
helicopters	O
in	O
action	O
.	O

The	O
first	O
four	O
F-16Cs	product-airplane
were	O
from	O
the	O
50th	organization-other
Tactical	organization-other
Fighter	organization-other
Wing	organization-other
,	O
Hahn	location-other
Air	location-other
Base	location-other
,	O
Germany	location-GPE
.	O

In	O
July	O
2013	O
,	O
the	O
IAF	organization-other
announced	O
that	O
the	O
Alenia	organization-company
Aermacchi	organization-company
M-346	product-airplane
Master	product-airplane
,	O
an	O
advanced	O
trainer	O
aircraft	O
that	O
it	O
was	O
in	O
the	O
process	O
of	O
procuring	O
at	O
the	O
time	O
,	O
would	O
receive	O
the	O
name	O
Lavi	product-airplane
in	O
Israeli	location-GPE
service	O
;	O
a	O
total	O
of	O
30	O
M-346s	product-airplane
are	O
to	O
be	O
operated	O
by	O
the	O
service	O
from	O
2014	O
.	O

A	O
Royal	organization-other
Air	organization-other
Force	organization-other
Search	organization-other
and	organization-other
Rescue	organization-other
Westland	product-airplane
Sea	product-airplane
King	product-airplane
left	O
RAF	building-other
Coltishall	building-other
at	O
15:47	O
,	O
sighting	O
floating	O
wreckage	O
from	O
G-ASWI	O
at	O
15:57	O
.	O

For	O
a	O
brief	O
period	O
the	O
plant	O
made	O
Pirna	product-other
jet	product-other
engines	product-other
for	O
the	O
ill-fated	O
Dresden	product-airplane
152	product-airplane
airliner	O
.	O

After	O
working	O
as	O
Lavochkin	product-airplane
's	O
right-hand	O
man	O
during	O
World	event-attack,battle,war,militaryconflict
War	event-attack,battle,war,militaryconflict
II	event-attack,battle,war,militaryconflict
,	O
Semyon	person-soldier
Alekseyev	person-soldier
was	O
appointed	O
as	O
Chief	O
Designer	O
of	O
OKB-21	O
(	O
design	O
bureau	O
)	O
at	O
Gor'kiy	location-GPE
.	O

However	O
,	O
Air	organization-company
Florida	organization-company
was	O
forced	O
to	O
file	O
bankruptcy	O
after	O
the	O
crash	O
of	O
Air	organization-company
Florida	organization-company
Flight	product-airplane
90	product-airplane
in	O
1982	O
.	O

The	O
first	O
documented	O
encounter	O
with	O
a	O
Lockheed	product-airplane
U-2	product-airplane
took	O
place	O
in	O
the	O
autumn	O
of	O
1957	O
.	O

The	O
first	O
CP-107	product-airplane
Argus	product-airplane
arrived	O
at	O
RCAF	building-other
Station	building-other
Greenwood	building-other
on	O
May	O
1	O
,	O
1958	O
.	O

In	O
October	O
2009	O
United	organization-company
decided	O
to	O
exercise	O
its	O
early	O
termination	O
option	O
for	O
the	O
Dash	product-airplane
8	product-airplane
flying	O
.	O

The	O
14-X	product-airplane
is	O
a	O
Brazilian	location-GPE
hypersonic	O
aircraft	O
,	O
named	O
in	O
tribute	O
to	O
the	O
14-bis	product-airplane
of	O
Alberto	person-other
Santos-Dumont	person-other
.	O

The	O
He	product-airplane
274	product-airplane
,	O
having	O
drawn	O
the	O
attention	O
of	O
French	location-GPE
authorities	O
,	O
had	O
been	O
restored	O
to	O
a	O
flightworthy	O
condition	O
to	O
allow	O
such	O
use	O
.	O

Ground	O
echelon	O
arrived	O
in	O
Philippines	location-GPE
in	O
late	O
November	O
1941	O
,	O
however	O
outbreak	O
of	O
World	event-attack,battle,war,militaryconflict
War	event-attack,battle,war,militaryconflict
II	event-attack,battle,war,militaryconflict
in	O
the	O
Pacific	location-bodiesofwater
caused	O
A-24	product-airplane
aircraft	O
to	O
be	O
diverted	O
to	O
Australia	location-GPE
.	O

Initially	O
the	O
Sh-1	product-airplane
was	O
accepted	O
by	O
the	O
Soviet	location-GPE
aviation	O
into	O
serial	O
production	O
,	O
but	O
the	O
decision	O
was	O
soon	O
overturned	O
and	O
the	O
Factory	O
No	O
.	O

This	O
was	O
rejected	O
in	O
favour	O
of	O
a	O
twin-engined	O
aircraft	O
using	O
two	O
Rolls-Royce	product-other
Condor	product-other
engines	O
,	O
the	O
Avro	product-airplane
Type	product-airplane
557	product-airplane
Ava	product-airplane
and	O
winning	O
an	O
order	O
for	O
two	O
prototypes	O
from	O
the	O
Air	organization-other
Ministry	organization-other
.	O

Major	person-soldier
William	person-soldier
T	person-soldier
.	person-soldier
Whisner	person-soldier
Jr	person-soldier
.	person-soldier
got	O
his	O
fifth	O
MiG	product-airplane
kill	product-airplane
on	O
23	O
February	O
1952	O
,	O
becoming	O
an	O
ace	O
.	O

Most	O
He	O
111	O
units	O
were	O
replaced	O
by	O
the	O
faster	O
Junkers	product-airplane
Ju	product-airplane
88	product-airplane
and	O
Dornier	product-airplane
Do	product-airplane
217	product-airplane
which	O
also	O
suffered	O
losses	O
,	O
but	O
not	O
to	O
the	O
extent	O
of	O
the	O
He	product-airplane
111	product-airplane
.	O

Initially	O
he	O
flew	O
as	O
an	O
observer	O
but	O
soon	O
he	O
would	O
become	O
a	O
single-seater	O
fighter	O
pilot	O
with	O
FFA	product-airplane
23	product-airplane
.	O

In	O
the	O
buildup	O
to	O
World	event-attack,battle,war,militaryconflict
War	event-attack,battle,war,militaryconflict
II	event-attack,battle,war,militaryconflict
,	O
the	O
company	O
developed	O
its	O
own	O
biplane	O
trainer	O
the	O
St.	product-airplane
Louis	product-airplane
PT-35	product-airplane
,	O
which	O
lost	O
to	O
the	O
Boeing	product-airplane
Stearman	product-airplane
.	O

XIX	O
(	O
Fighter	O
)	O
Squadron	O
exchanged	O
their	O
Mustangs	product-airplane
for	O
Spitfire	product-airplane
Mk.XVIs	product-airplane
.	O

HSM-73	product-airplane
is	O
the	O
home	O
of	O
the	O
Battlecats	O
.	O

United	organization-company
Express	organization-company
uses	O
Bombardier	product-airplane
CRJ200s	product-airplane
operated	O
by	O
SkyWest	organization-company
Airlines	organization-company
and	O
Embraer	product-airplane
ERJ145s	product-airplane
operated	O
by	O
Trans	organization-company
States	organization-company
Airlines	organization-company
to	O
Denver	location-GPE
.	O

Other	O
displays	O
concentrate	O
on	O
the	O
history	O
of	O
aviation	O
,	O
including	O
a	O
full-scale	O
model	O
of	O
the	O
Wright	product-airplane
Flyer	product-airplane
and	O
of	O
the	O
``	O
Miss	product-airplane
Veedol	product-airplane
``	O
,	O
the	O
first	O
aircraft	O
to	O
make	O
a	O
successful	O
nonstop	O
transpacific	O
flight	O
,	O
which	O
originated	O
from	O
Misawa	location-GPE
's	O
Sabishiro	location-other
Beach	location-other
in	O
1931	O
.	O

Following	O
the	O
disestablishment	O
of	O
CVWR-20	organization-other
,	O
VFA-204	product-airplane
continued	O
to	O
provide	O
Fleet	O
services	O
as	O
part	O
of	O
the	O
Tactical	organization-other
Support	organization-other
Wing	organization-other
.	O

Parts	O
of	O
the	O
airline	O
was	O
used	O
to	O
form	O
West	organization-company
Air	organization-company
Sweden	organization-company
,	O
namely	O
the	O
single	O
IAI	organization-company
Westwind	product-airplane
left	O
after	O
the	O
crash	O
of	O
the	O
first	O
one	O
.	O

On	O
30	O
August	O
2002	O
,	O
the	O
Embraer	product-airplane
EMB	product-airplane
120	product-airplane
Brasilia	product-airplane
,	O
registration	O
PT-WRQ	O
,	O
flying	O
the	O
route	O
crashed	O
in	O
heavy	O
rain	O
.	O

They	O
were	O
intended	O
to	O
be	O
delivered	O
by	O
November	O
2005	O
,	O
but	O
in	O
April	O
2005	O
the	O
company	O
charged	O
with	O
fulfilling	O
the	O
contract	O
announced	O
the	O
delivery	O
would	O
not	O
go	O
ahead	O
as	O
planned	O
,	O
because	O
the	O
delivery	O
schedule	O
proposed	O
by	O
PZL	product-airplane
Swidnik	product-airplane
was	O
not	O
good	O
enough	O
.	O

Originally	O
a	O
Third	organization-other
Reich-era	organization-other
Luftwaffe	organization-other
air	O
force	O
base	O
,	O
hosting	O
the	O
pioneering	O
JG	product-airplane
7	product-airplane
jet	O
fighter	O
wing	O
before	O
May	O
1945	O
,	O
it	O
saw	O
scheduled	O
cargo	O
flights	O
operated	O
by	O
Air	organization-company
Cargo	organization-company
Germany	organization-company
in	O
2009	O
and	O
2010	O
.	O

It	O
would	O
compete	O
for	O
the	O
U.S	location-GPE
.	location-GPE
Army	O
's	O
FLRAA	product-airplane
unveiled	O
in	O
April	O
,	O
developed	O
from	O
the	O
Future	product-airplane
Vertical	product-airplane
Lift	product-airplane
Capability	product-airplane
Set	product-airplane
3	product-airplane
(	O
medium	O
rotorcraft	O
)	O
without	O
the	O
attack	O
requirement	O
,	O
while	O
the	O
U.S	location-GPE
.	location-GPE
Army	O
's	O
FARA	product-airplane
should	O
replace	O
the	O
retired	O
Bell	product-airplane
OH-58	product-airplane
Kiowa	product-airplane
scout	O
and	O
up	O
to	O
half	O
of	O
the	O
AH-64	product-airplane
fleet	O
.	O

Beechcraft	organization-company
developed	O
the	O
T-1	product-airplane
Jayhawk	product-airplane
version	O
for	O
the	O
United	organization-other
States	organization-other
Air	organization-other
Force	organization-other
,	O
used	O
as	O
a	O
trainer	O
for	O
crew	O
of	O
large	O
aircraft	O
like	O
tankers	O
and	O
strategic	O
transports	O
:	O
180	O
were	O
delivered	O
between	O
1992	O
and	O
1997	O
.	O

On	O
9	O
October	O
2018	O
,	O
the	O
Boeing	product-airplane
737-800	product-airplane
operating	O
the	O
flight	O
from	O
Porto	location-other
Airport	location-other
to	O
Edinburgh	location-other
Airport	location-other
suffered	O
a	O
left	O
ADIRU	product-other
failure	O
that	O
resulted	O
in	O
the	O
aircraft	O
pitching	O
up	O
and	O
climbing	O
600	O
feet	O
.	O

GP	organization-company
Express	organization-company
used	O
B	O
eechcraft	product-airplane
Model	product-airplane
99	product-airplane
and	O
Beechcraft	product-airplane
1900C	product-airplane
aircraft	product-airplane
.	O

After	O
the	O
1964	O
Gulf	event-other
of	event-other
Tonkin	event-other
Incident	event-other
,	O
and	O
the	O
decision	O
being	O
made	O
to	O
escalate	O
United	location-GPE
States	location-GPE
involvement	O
in	O
the	O
Vietnam	event-attack,battle,war,militaryconflict
War	event-attack,battle,war,militaryconflict
,	O
MATS	product-airplane
performed	O
a	O
critical	O
role	O
in	O
the	O
air	O
transport	O
of	O
personnel	O
and	O
equipment	O
to	O
the	O
war	O
zone	O
.	O

In	O
1923	O
,	O
Charles	person-other
Richard	person-other
Fairey	person-other
,	O
founder	O
and	O
chief	O
designer	O
of	O
Fairey	organization-company
Aviation	organization-company
,	O
disappointed	O
with	O
his	O
Fawn	product-airplane
bomber	O
,	O
which	O
owing	O
to	O
the	O
constraints	O
of	O
Air	organization-other
Ministry	organization-other
specifications	O
,	O
was	O
slower	O
than	O
the	O
Airco	product-airplane
DH.9A	product-airplane
which	O
it	O
was	O
meant	O
to	O
replace	O
while	O
carrying	O
no	O
greater	O
bombload	O
,	O
conceived	O
the	O
idea	O
of	O
a	O
private	O
venture	O
bomber	O
not	O
subject	O
to	O
official	O
limitations	O
,	O
which	O
could	O
demonstrate	O
superior	O
performance	O
and	O
handling	O
.	O

During	O
the	O
spring	O
and	O
summer	O
of	O
1942	O
,	O
Gabreski	person-soldier
remained	O
with	O
the	O
45th	O
(	O
renamed	O
as	O
45th	organization-other
Fighter	organization-other
Squadron	organization-other
in	O
May	O
1942	O
)	O
,	O
training	O
in	O
newer	O
model	O
P-40s	product-airplane
and	O
in	O
Bell	product-airplane
P-39	product-airplane
Airacobras	product-airplane
that	O
the	O
unit	O
began	O
to	O
receive	O
.	O

The	O
airline	O
would	O
never	O
expand	O
beyond	O
three	O
DC-10s	product-airplane
.	O

The	O
Cold	event-attack,battle,war,militaryconflict
War-era	event-attack,battle,war,militaryconflict
Valiant	product-airplane
V	product-airplane
bomber	product-airplane
was	O
another	O
Vickers	product-airplane
product	product-airplane
.	O

The	O
trait	O
most	O
often	O
associated	O
with	O
the	O
Contessa	product-airplane
32	product-airplane
though	O
is	O
its	O
ability	O
to	O
endure	O
harsh	O
weather	O
and	O
rough	O
seas	O
.	O

One	O
of	O
the	O
bugs	O
,	O
which	O
occurs	O
only	O
in	O
the	O
``	O
Standard	O
Edition	O
''	O
,	O
is	O
that	O
the	O
Maule	product-airplane
Air	product-airplane
Orion	product-airplane
aircraft	O
used	O
in	O
the	O
mission	O
has	O
missing	O
gauges	O
and	O
other	O
problems	O
,	O
as	O
it	O
is	O
a	O
``	O
Deluxe	O
Version	O
''	O
-only	O
aircraft	O
.	O

10	O
(	O
Naval	O
)	O
Squadron	O
,	O
to	O
fly	O
the	O
Sopwith	product-airplane
Triplane	product-airplane
single-seat	product-airplane
fighter	product-airplane
as	O
a	O
part	O
of	O
Canadian	location-GPE
ace	O
Raymond	person-soldier
Collishaw	person-soldier
's	O
``	organization-other
B	organization-other
''	organization-other
(	organization-other
'Black	organization-other
'	organization-other
)	organization-other
Flight	organization-other
''	organization-other
.	O

In	O
1995	O
,	O
Aurora	person-other
joined	O
the	O
Global	product-airplane
Hawk	product-airplane
team	O
and	O
continues	O
to	O
build	O
composite	O
fuselage	O
components	O
and	O
tail	O
assemblies	O
of	O
the	O
RQ-4	product-airplane
for	O
Northrop	organization-company
Grumman	organization-company
and	O
the	O
USAF	organization-other
.	O

TTAM	organization-other
's	organization-other
fleet	organization-other
included	O
the	O
following	O
aircraft	O
in	O
1998	O
:	O
one	O
ATR	product-airplane
42-500	product-airplane
,	O
three	O
Piper	product-airplane
PA-23s	product-airplane
,	O
one	O
Piper	product-airplane
PA-31	product-airplane
Navajo	product-airplane
and	O
several	O
light	O
aircraft	O
.	O

At	O
the	O
start	O
of	O
the	O
1988–1989	O
winter	O
timetable	O
,	O
Dan-Air	organization-company
became	O
a	O
two-class	O
scheduled	O
airline	O
when	O
,	O
under	O
the	O
stewardship	O
of	O
Vic	person-other
Sheppard	person-other
,	O
it	O
introduced	O
its	O
``	O
Class	O
Elite	O
''	O
business	O
class	O
between	O
Gatwick	location-GPE
and	O
Paris	location-GPE
and	O
between	O
Gatwick	location-GPE
and	O
Nice	location-GPE
on	O
three	O
refurbished	O
One-Eleven	product-airplane
500s	product-airplane
.	O

The	O
prototype	O
Hawk	product-airplane
was	O
fitted	O
with	O
a	O
turbo-supercharged	O
Allison	product-other
V-1710-11	product-other
engine	product-other
as	O
the	O
XP-37	product-airplane
(	O
company	O
designation	O
Model	O
75I	O
)	O
.	O

The	O
second	O
prototype	O
Żak-2	product-airplane
was	O
powered	O
by	O
the	O
65	O
hp	O
flat	O
engine	O
Continental	product-other
A-65	product-other
and	O
had	O
an	O
open	O
cockpit	O
.	O

During	O
the	O
Battle	event-attack,battle,war,militaryconflict
of	event-attack,battle,war,militaryconflict
Britain	event-attack,battle,war,militaryconflict
nineteen	O
Spitfire	product-airplane
squadrons	product-airplane
were	O
claimed	O
521	O
German	location-GPE
aircraft	O
.	O

Delta	product-airplane
Shuttle	product-airplane
is	O
marketed	O
primarily	O
toward	O
business	O
travelers	O
commuting	O
between	O
the	O
Northeast	O
's	O
business	O
centers	O
in	O
New	location-GPE
York	location-GPE
,	O
Boston	location-GPE
,	O
Washington	location-GPE
,	location-GPE
DC	location-GPE
,	O
and	O
Chicago	location-GPE
.	O

The	O
Avon	building-other
STOLPort	building-other
was	O
owned	O
and	O
operated	O
by	O
Rocky	organization-company
Mountain	organization-company
Airways	organization-company
which	O
operated	O
de	O
Havilland	product-airplane
Canada	product-airplane
DHC-7	product-airplane
Dash	product-airplane
7	product-airplane
STOL	product-airplane
turboprops	O
from	O
this	O
mountain	O
airfield	O
.	O

During	O
``	O
Annual	event-other
Missile	event-other
Launch	event-other
Operations	event-other
``	O
,	O
Matador	organization-other
units	organization-other
from	O
Germany	location-GPE
at	O
Wheelus	location-other
Air	location-other
Base	location-other
in	O
Libya	location-GPE
conducted	O
test	O
firings	O
until	O
after	O
the	O
phase-out	O
of	O
the	O
Matador	product-airplane
began	O
in	O
1959	O
(	O
the	O
TM-61C	product-airplane
Matador	product-airplane
was	O
retired	O
on	O
September	O
25	O
,	O
1962	O
.	O
)	O

The	O
squadron	O
started	O
receiving	O
their	O
first	O
F-16C/D	product-airplane
Fighting	product-airplane
Falcon	product-airplane
aircraft	product-airplane
in	O
1991	O
.	O

The	O
squadron	O
transitioned	O
to	O
the	O
P-3C	product-airplane
Orion	product-airplane
in	O
1985	O
.	O

However	O
Hornbill	organization-company
Skyways	organization-company
ceased	O
operating	O
the	O
2	O
Dornier	product-airplane
228	O
in	O
2008	O
when	O
both	O
aircraft	O
were	O
sold	O
to	O
other	O
airline	O
company	O
in	O
Mobile	O
.	O

The	O
BOK	product-other
was	O
then	O
assigned	O
the	O
task	O
of	O
applying	O
the	O
'hermetic	O
'	O
cabin	O
to	O
an	O
aircraft	O
with	O
the	O
Tupolev	product-airplane
RD	product-airplane
chosen	O
as	O
the	O
basis	O
of	O
the	O
BOK-1	product-other
.	O

Aware	O
of	O
the	O
Pan	event-attack,battle,war,militaryconflict
Am	event-attack,battle,war,militaryconflict
Flight	event-attack,battle,war,militaryconflict
845/26	event-attack,battle,war,militaryconflict
accident	event-attack,battle,war,militaryconflict
the	O
year	O
before	O
,	O
in	O
which	O
a	O
Boeing	product-airplane
377	product-airplane
's	O
tail	O
section	O
had	O
broken	O
off	O
during	O
a	O
water	O
landing	O
,	O
the	O
captain	O
told	O
the	O
flight	O
's	O
purser	O
to	O
clear	O
passengers	O
from	O
the	O
back	O
of	O
the	O
plane	O
.	O

During	O
the	O
night	O
of	O
17/18	O
September	O
1940	O
the	O
ship	O
was	O
hit	O
in	O
the	O
stern	O
by	O
a	O
torpedo	O
from	O
Italian	product-airplane
Savoia-Marchetti	product-airplane
SM.79	product-airplane
bombers	O
from	O
the	O
279th	organization-other
Independent	organization-other
Torpedo	organization-other
Squadron	organization-other
(	O
)	O
led	O
by	O
Carlo	person-other
Emanuele	person-other
Buscaglia	person-other
.	O

659	O
Squadron	O
AAC	O
is	O
a	O
squadron	O
of	O
the	O
British	organization-other
Army	organization-other
's	organization-other
Army	organization-other
Air	organization-other
Corps	organization-other
(	O
AAC	organization-other
)	O
based	O
at	O
RNAS	location-GPE
Yeovilton	location-GPE
(	O
HMS	location-GPE
Heron	location-GPE
)	O
flying	O
AgustaWestland	product-airplane
Wildcat	product-airplane
AH.1	product-airplane
's	product-airplane
as	O
part	O
of	O
1	O
Regiment	organization-other
Army	organization-other
Air	organization-other
Corps	organization-other
.	O

The	O
current	O
model	O
lineup	O
includes	O
the	O
Sukhoi	product-airplane
SU-29MM	product-airplane
,	O
Sport	product-airplane
Cub	product-airplane
,	O
Artizan	product-airplane
,	O
Fw-190	product-airplane
A-8	product-airplane
,	O
T-28	product-airplane
Trojan	product-airplane
,	O
Radian	product-airplane
,	O
and	O
Radian	product-airplane
Pro	product-airplane
.	O

In	O
,	O
the	O
company	O
acquired	O
Boeing	product-airplane
767	product-airplane
aircraft	O
for	O
conversion	O
to	O
freighters	O
.	O

On	O
September	O
2	O
,	O
1998	O
,	O
Swissair	product-airplane
Flight	product-airplane
111	product-airplane
crashed	O
just	O
off	O
the	O
coast	O
;	O
all	O
229	O
people	O
on	O
board	O
died	O
.	O

Delta	organization-company
further	O
upgraded	O
to	O
a	O
McDonnell	organization-company
Douglas	organization-company
MD-88	product-airplane
at	O
the	O
beginning	O
of	O
summer	O
in	O
2015	O
,	O
in	O
addition	O
with	O
current	O
717	O
service	O
,	O
occasionally	O
replacing	O
the	O
smaller	O
aircraft	O
on	O
some	O
flights	O
.	O

Paya	organization-other
Lebar	organization-other
Air	organization-other
Base	organization-other
ramp	O
at	O
that	O
time	O
had	O
28	O
USAF	product-airplane
F-15s	product-airplane
,	O
four	O
USAF	product-airplane
Lockheed	product-airplane
C-130	product-airplane
Herculeses	product-airplane
,	O
four	O
USAF	product-airplane
Boeing	product-airplane
KC-135	product-airplane
Stratotankers	product-airplane
,	O
one	O
Lockheed	product-airplane
C-141	product-airplane
Starlifter	product-airplane
,	O
one	O
Boeing	product-airplane
C-17	product-airplane
Globemaster	product-airplane
III	product-airplane
,	O
plus	O
all	O
the	O
permanently	O
based	O
RSAF	organization-other
aircraft	O
and	O
aircraft	O
from	O
other	O
nations	O
.	O

A	O
NH90	product-airplane
arrived	O
in	O
an	O
Airbus	product-airplane
Beluga	product-airplane
,	O
which	O
was	O
an	O
attraction	O
in	O
itself	O
.	O

34	O
minutes	O
later	O
,	O
Flight	product-airplane
77	product-airplane
crashes	O
into	O
the	O
Pentagon	building-other
in	O
Arlington	location-GPE
County	location-GPE
,	O
Virginia	location-GPE
.	O

The	O
first	O
officer	O
was	O
22-year-old	O
Suliko	person-other
Tsutskiridze	person-other
,	O
who	O
was	O
far	O
less	O
experienced	O
than	O
captain	O
Oganesyan	person-other
,	O
having	O
logged	O
only	O
495	O
flight	O
hours	O
with	O
344	O
of	O
them	O
on	O
the	O
CRJ-100	product-airplane
.	O

Buddecke	person-other
and	O
Berthold	person-other
,	O
flying	O
the	O
Eindecker	product-airplane
and	O
an	O
AEG	product-airplane
G.II	product-airplane
,	O
respectively	O
,	O
formed	O
a	O
small	O
``	O
Kampfstaffel	product-airplane
``	O
within	O
the	O
unit	O
,	O
intercepting	O
British	location-GPE
reconnaissance	O
aircraft	O
.	O

Yadollah	person-other
Javadpour	person-other
(	O
)	O
was	O
a	O
fighter	O
pilot	O
flying	O
Northrop	product-airplane
F-5	product-airplane
Tiger	product-airplane
II	product-airplane
in	O
the	O
Islamic	organization-other
Republic	organization-other
of	organization-other
Iran	organization-other
Air	organization-other
Force	organization-other
,	O
serving	O
for	O
the	O
duration	O
of	O
the	O
Iran–Iraq	event-attack,battle,war,militaryconflict
War	event-attack,battle,war,militaryconflict
.	O

The	O
aircraft	O
was	O
registered	O
as	O
FAP-351	product-airplane
(	O
c/n	O
23041	O
/	O
m/n	O
962	O
)	O
and	O
had	O
only	O
entered	O
service	O
with	O
the	O
Peruvian	organization-politicalparty
Air	organization-politicalparty
Force	organization-politicalparty
a	O
few	O
weeks	O
before	O
the	O
crash	O
.	O

By	O
2003	O
,	O
the	O
airline	O
was	O
serving	O
Billings	O
with	O
Canadair	product-airplane
CRJ-700	product-airplane
regional	O
jets	O
.	O

Each	O
SR.N4	product-airplane
was	O
powered	O
by	O
an	O
arrangement	O
of	O
four	O
Bristol	organization-company
Proteus	organization-company
gas	O
turbine	O
engines	O
;	O
while	O
these	O
were	O
marinised	O
and	O
proved	O
to	O
be	O
one	O
of	O
the	O
hovercraft	O
's	O
more	O
reliable	O
systems	O
,	O
they	O
were	O
relatively	O
fuel-hungry	O
,	O
consuming	O
significant	O
amounts	O
of	O
aviation-grade	O
kerosene	O
.	O

The	O
``	O
Las	organization-media,newspaper
Vegas	organization-media,newspaper
Review-Journal	organization-media,newspaper
``	O
in	O
a	O
50th	O
anniversary	O
article	O
stated	O
that	O
the	O
act	O
``	O
specifically	O
referenced	O
the	O
crash	O
of	O
United	product-airplane
736	product-airplane
in	O
ordering	O
the	O
creation	O
of	O
the	organization-government,governmentagency
FAA	organization-government,governmentagency
.	O
''	O

The	O
He	product-airplane
111	product-airplane
also	O
served	O
as	O
a	O
torpedo	O
bomber	O
in	O
the	O
Battle	event-attack,battle,war,militaryconflict
of	event-attack,battle,war,militaryconflict
the	event-attack,battle,war,militaryconflict
Atlantic	event-attack,battle,war,militaryconflict
and	event-attack,battle,war,militaryconflict
the	event-attack,battle,war,militaryconflict
Mediterranean	event-attack,battle,war,militaryconflict
Sea	event-attack,battle,war,militaryconflict
.	O

These	O
air	O
carriers	O
included	O
Air	organization-company
Florida	organization-company
with	O
Douglas	product-airplane
DC-9-10s	product-airplane
,	O
Caribair	organization-company
with	organization-company
McDonnell	organization-company
Douglas	product-airplane
DC-9-30s	product-airplane
,	O
Continental	organization-company
Airlines	organization-company
with	O
Boeing	product-airplane
727-200s	product-airplane
,	O
Eastern	organization-company
Airlines	organization-company
with	O
Boeing	product-airplane
727-100s	product-airplane
,	O
727-200s	product-airplane
and	O
757-200s	product-airplane
,	O
Midway	organization-company
Airlines	organization-company
with	O
Boeing	product-airplane
737-200s	product-airplane
,	O
Pan	organization-company
Am	organization-company
with	O
Boeing	product-airplane
727-200s	product-airplane
as	O
well	O
as	O
wide	O
body	O
Airbus	product-airplane
A300B4s	product-airplane
and	O
Trans	organization-company
Caribbean	organization-company
Airways	organization-company
with	O
Boeing	product-airplane
727-200s	product-airplane
.	O

Baikal	organization-company
Airlines	organization-company
Flight	product-airplane
130	product-airplane
was	O
a	O
scheduled	O
domestic	O
passenger	O
flight	O
from	O
Irkutsk	location-GPE
to	O
Moscow	O
that	O
crashed	O
on	O
3	O
January	O
1994	O
.	O

Air	product-airplane
Force	product-airplane
F-15	product-airplane
jets	O
based	O
on	O
Andersen	organization-other
Air	organization-other
Force	organization-other
Base	organization-other
were	O
scrambled	O
to	O
intercept	O
the	O
aircraft	O
.	O

Throughout	O
the	O
YS-11	product-airplane
's	O
production	O
lifetime	O
,	O
its	O
electronic	O
equipment	O
,	O
avionics	O
,	O
mechanical	O
and	O
fuselage	O
components	O
were	O
supplied	O
by	O
a	O
combination	O
of	O
by	O
Japanese	location-GPE
companies	O
and	O
foreign	O
suppliers	O
.	O

The	O
NOVJ	organization-politicalparty
partisan	O
army	O
included	O
air	O
units	O
trained	O
and	O
equipped	O
by	O
Britain	location-GPE
(	O
with	O
Supermarine	O
Spitfires	O
and	O
Hawker	O
Hurricanes	O
,	O
see	O
Balkan	organization-other
Air	organization-other
Force	organization-other
)	O
and	O
the	O
Soviet	location-GPE
Unio	location-GPE
n	O
(	O
with	O
Yak-3	product-airplane
,	O
Yak-7	product-airplane
,	O
Yak-9	product-airplane
and	O
Ilyushin	product-airplane
Il-2	product-airplane
aircraft	O
)	O
and	O
a	O
number	O
of	O
ad	O
hoc	O
units	O
equipped	O
with	O
aircraft	O
captured	O
from	O
German	location-GPE
Luftwaffe	organization-other
and	organization-other
Air	organization-other
Force	organization-other
of	O
the	O
Independent	O
State	O
of	O
Croatia	location-GPE
(	O
Messerschmitt	product-airplane
Bf	product-airplane
109G	product-airplane
,	O
Junkers	product-airplane
Ju	product-airplane
87	product-airplane
Stuka	product-airplane
and	O
many	O
others	O
)	O
.	O

From	O
1923	O
to	O
1925	O
,	O
the	O
two	O
developed	O
the	O
Avia	product-airplane
BH-7	product-airplane
,	O
BH-9	product-airplane
,	O
and	O
BH-11	product-airplane
monoplanes	O
,	O
launching	O
the	O
era	O
of	O
biplane	O
fighters	O
.	O

The	O
plane	O
,	O
a	O
Douglas	product-airplane
DC-3	product-airplane
,	O
flew	O
into	O
turbulence	O
from	O
a	O
thunderstorm	O
.	O

In	O
1939	O
,	O
Ala	organization-company
Italia	organization-company
sold	O
three	O
of	O
its	O
M.C.94	product-airplane
s	O
to	O
its	O
Argentinian	O
partner	O
,	O
Corporación	organization-company
